Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
21,10,14,13,1,2,1,0,0,1,0,0,0,2,.154,.214,.231,.445,20,3,0,1,0,0,0
22,34,75,69,5,12,3,0,0,6,0,0,5,11,.174,.240,.217,.457,23,15,3,1,0,0,0
23,19,42,35,1,4,0,0,0,3,0,0,3,7,.114,.205,.114,.319,-9,4,0,1,3,0,0
24,111,365,314,46,77,19,0,18,47,0,0,48,79,.245,.348,.478,.826,112,150,11,2,0,1,10
25,39,129,122,11,27,5,0,5,19,0,0,6,29,.221,.264,.385,.649,73,47,4,1,0,0,0
26,98,359,304,41,73,11,1,13,46,0,0,44,74,.240,.343,.411,.754,104,125,10,6,0,5,1
23,6,19,18,1,3,1,0,1,1,0,0,1,9,.167,.211,.389,.599,64,7,0,0,0,0,0
24,7,12,9,0,1,0,0,0,0,0,0,3,4,.111,.333,.111,.444,31,1,0,0,0,0,0
26,11,15,12,2,3,1,0,2,2,0,0,1,5,.250,.400,.833,1.233,201,10,0,2,0,0,0
27,37,53,49,6,8,2,0,3,6,1,0,3,22,.163,.226,.388,.614,59,19,1,1,0,0,0
28,152,603,529,86,137,26,1,29,73,8,1,67,155,.259,.348,.476,.825,111,252,11,6,0,1,6
29,57,243,218,35,59,18,1,7,34,1,1,19,50,.271,.333,.459,.792,112,100,6,3,0,3,0
30,115,445,401,55,98,23,1,10,46,0,0,38,106,.244,.315,.382,.696,88,153,8,4,0,2,1
24,95,260,228,33,54,13,1,8,23,9,3,29,56,.237,.327,.408,.735,86,93,5,2,0,1,0
25,26,79,70,9,9,3,0,2,6,1,0,7,24,.129,.228,.257,.485,29,18,0,2,0,0,0
25,14,38,34,3,2,1,0,1,1,1,0,3,16,.059,.158,.176,.334,-13,6,0,1,0,0,0
25,12,41,36,6,7,2,0,1,5,0,0,4,8,.194,.293,.333,.626,70,12,0,1,0,0,0
26,112,310,274,26,58,17,2,6,36,3,2,33,83,.212,.297,.354,.651,76,97,5,1,0,2,0
24,25,75,70,9,14,2,0,1,4,0,1,3,10,.200,.233,.271,.504,40,19,2,0,2,0,0
25,134,459,421,49,95,17,6,9,34,4,5,29,81,.226,.275,.359,.634,69,151,4,1,5,3,1
26,90,308,284,26,62,9,1,4,20,5,2,15,58,.218,.265,.299,.564,46,85,9,4,2,3,3
27,53,178,167,24,42,8,1,6,21,3,4,10,39,.251,.298,.419,.717,79,70,6,1,0,0,3
28,153,564,516,61,121,33,5,16,70,5,4,40,109,.234,.290,.411,.700,83,212,15,2,1,5,2
29,158,625,556,79,141,33,6,19,82,8,2,52,113,.254,.316,.437,.753,93,243,15,4,1,12,2
30,57,217,199,29,53,10,1,5,29,4,0,18,46,.266,.327,.402,.729,97,80,3,0,0,0,0
31,129,473,434,46,96,30,3,5,38,7,2,34,104,.221,.280,.339,.619,67,147,9,2,2,1,3
22,9,7,7,0,2,0,0,0,0,0,0,0,1,.286,.286,.286,.571,54,2,0,0,0,0,0
23,50,146,131,18,28,4,1,0,9,3,0,11,31,.214,.278,.260,.537,48,34,0,1,2,1,0
23,36,97,87,14,18,4,1,0,3,2,0,9,23,.207,.281,.276,.557,52,24,0,0,1,0,0
23,14,49,44,4,10,0,0,0,6,1,0,2,8,.227,.271,.227,.498,41,10,0,1,1,1,0
24,66,179,165,23,39,5,2,3,10,0,2,11,34,.236,.282,.345,.628,72,57,0,0,2,1,0
25,133,465,433,52,119,35,2,6,37,1,1,24,93,.275,.315,.406,.721,102,176,6,2,4,2,1
26,127,446,409,48,107,31,4,12,58,2,3,28,86,.262,.309,.445,.754,105,182,7,2,2,5,1
27,105,377,352,32,83,14,2,6,37,1,3,21,72,.236,.280,.338,.618,67,119,7,1,2,1,1
28,129,499,457,62,116,16,5,21,73,5,1,33,98,.254,.309,.449,.758,100,205,5,5,1,3,3
29,97,408,368,45,101,37,3,15,63,1,3,34,91,.274,.338,.514,.852,128,189,7,3,0,3,6
29,54,223,198,30,53,11,0,8,21,1,1,18,35,.268,.327,.444,.772,102,88,5,2,0,5,2
30,158,699,636,94,171,29,10,35,118,5,1,50,130,.269,.320,.511,.831,111,325,8,3,0,10,3
31,54,222,203,22,43,7,3,4,20,1,0,15,41,.212,.270,.335,.605,63,68,5,2,0,2,4
32,146,599,549,77,139,26,5,28,90,1,0,48,124,.253,.314,.472,.786,109,259,3,1,0,1,1
32,98,400,370,50,91,14,3,22,65,1,0,29,85,.246,.300,.478,.778,107,177,1,0,0,1,1
32,48,199,179,27,48,12,2,6,25,0,0,19,39,.268,.342,.458,.800,113,82,2,1,0,0,0
26,88,348,329,40,94,12,9,8,36,6,3,16,60,.286,.320,.450,.770,112,148,9,1,1,1,0
27,149,517,462,61,144,26,10,17,78,9,4,44,107,.312,.371,.522,.893,137,241,7,4,0,7,2
28,48,183,171,23,43,9,5,4,15,2,0,8,42,.251,.295,.433,.728,86,74,3,3,0,1,1
29,140,577,525,82,154,31,3,14,57,8,4,43,94,.293,.352,.444,.796,100,233,7,6,0,3,1
30,146,614,560,75,164,25,5,30,87,4,0,48,124,.293,.352,.516,.868,127,289,14,4,0,2,4
31,99,423,382,48,105,29,3,12,57,0,0,35,87,.275,.343,.461,.804,106,176,9,5,0,1,3
32,54,218,203,19,61,10,1,5,34,1,0,13,45,.300,.339,.433,.773,108,88,4,0,0,2,0
33,150,538,487,57,126,30,8,8,63,2,1,46,92,.259,.325,.402,.728,96,196,9,3,0,2,3
21,57,247,219,25,62,14,3,2,17,8,4,24,43,.283,.351,.402,.753,112,88,1,0,2,2,0
22,119,466,437,55,113,21,2,1,33,11,5,18,84,.259,.287,.323,.610,68,141,10,2,3,6,0
23,73,255,223,30,58,11,2,5,18,3,1,29,37,.260,.345,.395,.740,88,88,3,1,0,2,3
24,153,580,520,68,135,26,12,14,59,6,1,54,79,.260,.332,.437,.768,102,227,12,3,1,2,3
25,144,628,569,97,187,36,9,32,92,10,2,53,86,.329,.389,.592,.981,149,337,7,4,0,2,2
26,45,195,181,19,52,14,1,2,17,1,0,7,21,.287,.323,.409,.732,97,74,2,4,0,3,0
27,90,374,340,52,108,29,1,14,50,2,0,31,60,.318,.377,.532,.909,143,181,8,2,0,1,3
24,12,44,37,7,10,0,1,1,4,1,0,5,8,.270,.341,.405,.746,102,15,0,0,0,2,0
25,145,545,498,68,133,27,4,11,49,1,0,42,106,.267,.328,.404,.732,98,201,11,4,0,1,1
25,41,157,138,17,30,7,0,2,16,4,2,18,41,.217,.312,.312,.624,64,43,3,1,0,0,0
26,17,70,61,9,11,0,0,0,2,1,1,7,16,.180,.257,.180,.437,22,11,1,0,0,2,0
27,139,550,484,69,128,32,3,11,44,9,4,58,137,.264,.341,.411,.752,103,199,7,0,1,3,1
21,45,186,159,30,45,9,2,3,22,0,0,17,29,.283,.354,.421,.775,103,67,7,2,5,3,0
22,114,418,352,48,91,20,0,6,47,4,4,46,77,.259,.346,.366,.713,92,129,8,4,11,5,2
23,131,581,523,81,161,42,4,6,68,17,4,44,89,.308,.361,.438,.799,114,229,13,1,10,3,1
24,97,425,381,39,105,16,1,3,29,6,4,25,60,.276,.326,.346,.673,89,132,10,5,11,3,0
25,151,667,604,87,165,32,3,25,92,17,5,44,119,.273,.332,.460,.792,121,278,10,11,4,4,5
26,143,616,555,70,150,35,1,16,68,9,4,52,99,.270,.338,.423,.762,114,235,18,6,1,2,3
27,136,562,508,66,123,35,2,14,64,9,3,35,114,.242,.299,.402,.700,96,204,10,8,6,5,1
28,97,416,378,54,93,22,2,9,40,7,2,27,79,.246,.305,.386,.692,93,146,11,7,0,4,1
28,49,200,175,20,40,9,2,5,21,3,0,22,29,.229,.312,.389,.700,92,68,4,0,1,2,1
29,143,551,505,66,134,28,5,15,58,6,3,36,107,.265,.315,.430,.744,106,217,14,3,1,6,4
30,141,568,521,65,146,30,1,23,62,5,1,38,103,.280,.336,.474,.810,117,247,14,7,0,2,3
31,135,540,479,66,134,32,0,14,59,3,2,50,83,.280,.351,.434,.785,110,208,19,5,1,5,1
32,147,592,546,68,143,36,1,23,75,0,0,41,119,.262,.316,.458,.774,111,250,16,3,0,2,1
32,98,407,375,48,104,23,1,18,58,0,0,29,81,.277,.329,.488,.817,126,183,12,1,0,2,1
32,49,185,171,20,39,13,0,5,17,0,0,12,38,.228,.286,.392,.678,80,67,4,2,0,0,0
33,93,368,323,45,76,15,0,12,51,4,0,38,85,.235,.318,.393,.711,80,127,6,3,0,4,1
33,38,146,124,24,40,10,1,6,40,0,0,19,18,.323,.404,.565,.969,147,70,3,0,0,3,1
34,52,213,190,23,46,9,3,8,31,0,0,19,40,.242,.305,.447,.753,101,85,6,0,0,4,0
35,110,352,309,34,71,21,0,7,42,1,0,36,80,.230,.313,.366,.678,83,113,8,3,0,4,1
35,90,321,283,34,69,21,0,7,40,1,0,33,73,.244,.324,.392,.716,93,111,6,2,0,3,1
35,20,31,26,0,2,0,0,0,2,0,0,3,7,.077,.194,.077,.270,-26,2,2,1,0,1,0
23,37,115,101,16,19,5,2,3,9,3,1,12,33,.188,.287,.366,.653,76,37,1,2,0,0,0
24,95,315,284,41,70,17,2,11,38,6,0,30,67,.246,.318,.437,.755,102,124,4,0,1,0,3
24,21,25,23,2,4,1,0,0,1,1,0,2,6,.174,.240,.217,.457,31,5,0,0,0,0,1
25,58,222,195,29,55,7,2,8,32,2,2,21,41,.282,.347,.462,.808,128,90,6,1,0,5,0
26,127,537,493,90,134,31,3,17,58,5,3,38,104,.272,.325,.450,.776,123,222,5,2,2,2,0
27,159,686,630,78,161,23,2,26,83,4,1,45,164,.256,.308,.422,.731,104,266,6,5,2,4,1
28,157,672,594,91,161,35,5,18,75,2,3,67,118,.271,.348,.438,.786,116,260,10,6,0,5,0
29,155,654,569,77,139,23,2,19,71,5,1,71,134,.244,.333,.392,.725,96,223,10,8,0,6,4
30,137,552,491,71,102,18,2,19,57,6,2,53,133,.208,.283,.369,.652,79,181,9,1,0,6,2
31,152,632,552,92,128,29,1,33,74,4,1,70,162,.232,.325,.467,.792,107,258,14,7,0,2,7
32,54,228,190,35,43,9,0,16,40,1,1,28,50,.226,.338,.526,.864,130,100,6,6,0,4,0
33,51,182,166,17,39,8,0,5,17,1,0,15,41,.235,.297,.373,.670,81,62,2,0,0,1,0
22,27,62,59,5,10,4,0,2,4,0,0,2,17,.169,.210,.339,.549,38,20,0,1,0,0,0
23,29,63,62,5,12,3,1,1,5,1,0,1,15,.194,.206,.323,.529,39,20,1,0,0,0,0
24,87,278,254,41,71,18,3,7,28,1,2,19,50,.280,.327,.457,.784,109,116,1,1,0,4,1
25,156,673,611,85,148,29,5,32,85,11,1,55,151,.242,.305,.463,.768,112,283,15,2,1,4,8
26,114,441,385,54,87,19,2,12,56,9,2,46,86,.226,.307,.379,.686,91,146,4,2,1,7,1
27,109,396,363,53,96,16,7,12,54,1,1,28,63,.264,.316,.446,.763,116,162,3,1,0,3,0
28,149,582,526,67,143,25,4,20,77,10,2,49,65,.272,.333,.449,.781,116,236,7,0,1,2,1
29,68,272,243,33,72,11,1,8,28,5,0,28,34,.296,.368,.449,.816,124,109,7,0,0,1,5
29,47,167,155,20,40,6,0,2,9,3,3,11,22,.258,.307,.335,.643,74,52,1,0,0,0,0
30,134,540,477,77,150,34,4,13,82,7,3,43,72,.314,.363,.484,.847,130,231,9,0,1,12,1
31,134,487,433,63,105,13,2,17,47,7,2,49,77,.242,.318,.400,.718,97,173,9,0,1,2,3
32,141,550,501,57,138,19,3,14,56,5,2,36,66,.275,.319,.409,.728,89,205,9,0,1,9,1
33,56,210,188,22,46,11,1,4,23,1,0,20,42,.245,.316,.378,.693,89,71,5,0,0,1,0
34,54,158,151,15,39,11,0,2,21,0,0,6,31,.258,.285,.371,.656,76,56,4,0,0,1,0
27,18,27,25,0,0,0,0,0,0,0,0,2,2,.000,.074,.000,.074,-76,0,0,0,0,0,0
28,47,148,135,18,34,6,1,4,16,0,1,9,28,.252,.295,.400,.695,92,54,2,0,2,2,1
29,84,287,269,26,75,10,2,9,35,1,0,16,39,.279,.321,.431,.752,113,116,2,1,0,1,2
30,136,511,445,58,116,21,3,18,71,0,2,56,97,.261,.341,.443,.783,117,197,9,2,0,8,6
31,137,532,490,54,123,30,2,14,56,0,0,35,83,.251,.305,.406,.711,94,199,6,4,0,3,3
32,54,174,157,12,34,8,1,4,20,0,1,16,31,.217,.287,.357,.644,75,56,1,0,0,1,1
32,45,129,122,13,31,7,0,8,20,0,0,5,25,.254,.281,.508,.789,100,62,1,0,1,1,0
34,99,280,255,30,67,24,2,10,40,3,1,20,66,.263,.314,.490,.804,110,125,1,1,0,4,1
35,26,81,72,6,12,5,0,1,7,0,0,8,18,.167,.247,.278,.525,43,20,1,0,0,1,0
36,78,238,210,24,41,6,1,7,25,0,0,26,56,.195,.283,.333,.616,65,70,2,0,1,1,2
36,52,151,132,17,28,6,1,5,17,0,0,18,36,.212,.307,.386,.693,87,51,2,0,1,0,1
