Player,URL,Eligible,Contract,Salary
Carson Kelly,https://www.baseball-reference.com/players/k/kellyca02.shtml,True,0,0.0
Christian Walker,https://www.baseball-reference.com/players/w/walkech02.shtml,True,0,0.0
Josh VanMeter,https://www.baseball-reference.com/players/v/vanmejo01.shtml,True,0,0.0
Nick Ahmed,https://www.baseball-reference.com/players/a/ahmedni01.shtml,True,2020,8.125
Eduardo Escobar,https://www.baseball-reference.com/players/e/escobed01.shtml,True,2022,10.0
David Peralta,https://www.baseball-reference.com/players/p/peralda01.shtml,True,2020,7.333333333333333
Ketel Marte,https://www.baseball-reference.com/players/m/marteke01.shtml,True,0,0.0
Pavin Smith,https://www.baseball-reference.com/players/s/smithpa04.shtml,True,0,0.0
Josh Rojas,https://www.baseball-reference.com/players/r/rojasjo01.shtml,True,0,0.0
Asdrubal Cabrera,https://www.baseball-reference.com/players/c/cabreas01.shtml,True,0,0.0
Daulton Varsho,https://www.baseball-reference.com/players/v/varshda01.shtml,True,0,0.0
Kole Calhoun,https://www.baseball-reference.com/players/c/calhoko01.shtml,True,2022,5.2
Josh Reddick,https://www.baseball-reference.com/players/r/reddijo01.shtml,True,0,0.0
Stephen Vogt,https://www.baseball-reference.com/players/v/vogtst01.shtml,True,0,0.0
Tim Locastro,https://www.baseball-reference.com/players/l/locasti01.shtml,True,0,0.0
Andrew Young,https://www.baseball-reference.com/players/y/youngan02.shtml,True,0,0.0
Drew Ellis,https://www.baseball-reference.com/players/e/ellisdr01.shtml,True,0,0.0
Jake McCarthy,https://www.baseball-reference.com/players/m/mccarja02.shtml,True,0,0.0
Henry Ramos,https://www.baseball-reference.com/players/r/ramoshe01.shtml,True,0,0.0
Wyatt Mathisen,https://www.baseball-reference.com/players/m/mathiwy01.shtml,True,0,0.0
Ildemaro Vargas,https://www.baseball-reference.com/players/v/vargail01.shtml,True,0,0.0
Nick Heath,https://www.baseball-reference.com/players/h/heathni01.shtml,True,0,0.0
Geraldo Perdomo,https://www.baseball-reference.com/players/p/perdoge01.shtml,True,0,0.0
Bryan Holaday,https://www.baseball-reference.com/players/h/holadbr01.shtml,True,0,0.0
Domingo Leyba,https://www.baseball-reference.com/players/l/leybado01.shtml,True,0,0.0
Jake Hager,https://www.baseball-reference.com/players/h/hagerja01.shtml,True,0,0.0
Stuart Fairchild,https://www.baseball-reference.com/players/f/faircst01.shtml,True,0,0.0
Seth Beer,https://www.baseball-reference.com/players/b/beerse01.shtml,True,0,0.0
Travis d'Arnaud,https://www.baseball-reference.com/players/d/darnatr01.shtml,True,2022,8.0
Freddie Freeman,https://www.baseball-reference.com/players/f/freemfr01.shtml,True,0,0.0
Ozzie Albies,https://www.baseball-reference.com/players/a/albieoz01.shtml,True,2019,5.0
Dansby Swanson,https://www.baseball-reference.com/players/s/swansda01.shtml,True,0,0.0
Austin Riley,https://www.baseball-reference.com/players/r/rileyau01.shtml,True,0,0.0
Marcell Ozuna,https://www.baseball-reference.com/players/o/ozunama01.shtml,True,2021,16.25
Guillermo Heredia,https://www.baseball-reference.com/players/h/heredgu01.shtml,True,0,0.0
Ronald Acuna Jr.,https://www.baseball-reference.com/players/a/acunaro01.shtml,True,2019,12.5
Jorge Soler,https://www.baseball-reference.com/players/s/solerjo01.shtml,True,0,0.0
Adam Duvall,https://www.baseball-reference.com/players/d/duvalad01.shtml,True,0,0.0
Ehire Adrianza,https://www.baseball-reference.com/players/a/adriaeh01.shtml,True,0,0.0
Joc Pederson,https://www.baseball-reference.com/players/p/pederjo01.shtml,True,0,0.0
William Contreras,https://www.baseball-reference.com/players/c/contrwi02.shtml,True,0,0.0
Abraham Almonte,https://www.baseball-reference.com/players/a/almonab01.shtml,True,0,0.0
Eddie Rosario,https://www.baseball-reference.com/players/r/rosared01.shtml,True,0,0.0
Kevan Smith,https://www.baseball-reference.com/players/s/smithke04.shtml,True,0,0.0
Ender Inciarte,https://www.baseball-reference.com/players/i/inciaen01.shtml,True,0,0.0
Pablo Sandoval,https://www.baseball-reference.com/players/s/sandopa01.shtml,True,0,0.0
Orlando Arcia,https://www.baseball-reference.com/players/a/arciaor01.shtml,True,2022,1.5
Cristian Pache,https://www.baseball-reference.com/players/p/pachecr01.shtml,True,0,0.0
Alex Jackson,https://www.baseball-reference.com/players/j/jacksal02.shtml,True,0,0.0
Johan Camargo,https://www.baseball-reference.com/players/c/camarjo01.shtml,True,0,0.0
Jonathan Lucroy,https://www.baseball-reference.com/players/l/lucrojo01.shtml,True,0,0.0
Jeff Mathis,https://www.baseball-reference.com/players/m/mathije01.shtml,True,0,0.0
Sean Kazmar Jr.,https://www.baseball-reference.com/players/k/kazmase01.shtml,True,0,0.0
Pedro Severino,https://www.baseball-reference.com/players/s/severpe01.shtml,True,0,0.0
Ryan Mountcastle,https://www.baseball-reference.com/players/m/mountry01.shtml,True,0,0.0
Pat Valaika,https://www.baseball-reference.com/players/v/valaipa01.shtml,True,0,0.0
Freddy Galvis,https://www.baseball-reference.com/players/g/galvifr01.shtml,True,0,0.0
Maikel Franco,https://www.baseball-reference.com/players/f/francma02.shtml,True,0,0.0
Austin Hays,https://www.baseball-reference.com/players/h/haysau01.shtml,True,0,0.0
Cedric Mullins,https://www.baseball-reference.com/players/m/mullice01.shtml,True,0,0.0
Anthony Santander,https://www.baseball-reference.com/players/s/santaan02.shtml,True,0,0.0
Trey Mancini,https://www.baseball-reference.com/players/m/mancitr01.shtml,True,0,0.0
DJ Stewart,https://www.baseball-reference.com/players/s/stewadj01.shtml,True,0,0.0
Ramon Urias,https://www.baseball-reference.com/players/u/uriasra01.shtml,True,0,0.0
Ryan McKenna,https://www.baseball-reference.com/players/m/mckenry01.shtml,True,0,0.0
Kelvin Gutierrez,https://www.baseball-reference.com/players/g/gutieke01.shtml,True,0,0.0
Austin Wynns,https://www.baseball-reference.com/players/w/wynnsau01.shtml,True,0,0.0
Jorge Mateo,https://www.baseball-reference.com/players/m/mateojo01.shtml,True,0,0.0
Richie Martin,https://www.baseball-reference.com/players/m/martiri01.shtml,True,0,0.0
Rio Ruiz,https://www.baseball-reference.com/players/r/ruizri01.shtml,True,0,0.0
Stevie Wilkerson,https://www.baseball-reference.com/players/w/wilkest01.shtml,True,0,0.0
Chance Sisco,https://www.baseball-reference.com/players/s/siscoch01.shtml,True,0,0.0
Jahmai Jones,https://www.baseball-reference.com/players/j/jonesja08.shtml,True,0,0.0
Tyler Nevin,https://www.baseball-reference.com/players/n/nevinty01.shtml,True,0,0.0
Nick Ciuffo,https://www.baseball-reference.com/players/c/ciuffni01.shtml,True,0,0.0
Christian Vazquez,https://www.baseball-reference.com/players/v/vazquch01.shtml,True,2019,5.075
Bobby Dalbec,https://www.baseball-reference.com/players/d/dalbebo01.shtml,True,0,0.0
Christian Arroyo,https://www.baseball-reference.com/players/a/arroych01.shtml,True,0,0.0
Xander Bogaerts,https://www.baseball-reference.com/players/b/bogaexa01.shtml,True,2020,20.0
Rafael Devers,https://www.baseball-reference.com/players/d/deverra01.shtml,True,0,0.0
Alex Verdugo,https://www.baseball-reference.com/players/v/verdual01.shtml,True,0,0.0
Enrique Hernandez,https://www.baseball-reference.com/players/h/hernaen02.shtml,True,2021,7.0
Hunter Renfroe,https://www.baseball-reference.com/players/r/renfrhu01.shtml,True,0,0.0
J.D. Martinez,https://www.baseball-reference.com/players/m/martijd02.shtml,True,2018,21.99
Marwin Gonzalez,https://www.baseball-reference.com/players/g/gonzama01.shtml,True,0,0.0
Kevin Plawecki,https://www.baseball-reference.com/players/p/plaweke01.shtml,True,0,0.0
Kyle Schwarber,https://www.baseball-reference.com/players/s/schwaky01.shtml,True,0,0.0
Franchy Cordero,https://www.baseball-reference.com/players/c/cordefr02.shtml,True,0,0.0
Danny Santana,https://www.baseball-reference.com/players/s/santada01.shtml,True,0,0.0
Jarren Duran,https://www.baseball-reference.com/players/d/duranja01.shtml,True,0,0.0
Michael Chavis,https://www.baseball-reference.com/players/c/chavimi01.shtml,True,0,0.0
Jonathan Arauz,https://www.baseball-reference.com/players/a/arauzjo01.shtml,True,0,0.0
José Iglesias,https://www.baseball-reference.com/players/i/iglesjo01.shtml,True,0,0.0
Travis Shaw,https://www.baseball-reference.com/players/s/shawtr01.shtml,True,0,0.0
Jack Lopez,https://www.baseball-reference.com/players/l/lopezja03.shtml,True,0,0.0
