Player,URL,Eligible,Contract,Salary
Nick Ahmed,https://www.baseball-reference.com/players/a/ahmedni01.shtml,True,2020,8.125
Eduardo Escobar,https://www.baseball-reference.com/players/e/escobed01.shtml,True,2022,10.0
David Peralta,https://www.baseball-reference.com/players/p/peralda01.shtml,True,2020,7.333333333333333
Kole Calhoun,https://www.baseball-reference.com/players/c/calhoko01.shtml,True,2022,5.2
Travis d'Arnaud,https://www.baseball-reference.com/players/d/darnatr01.shtml,True,2022,8.0
Ozzie Albies,https://www.baseball-reference.com/players/a/albieoz01.shtml,True,2019,5.0
Marcell Ozuna,https://www.baseball-reference.com/players/o/ozunama01.shtml,True,2021,16.25
Ronald Acuna Jr.,https://www.baseball-reference.com/players/a/acunaro01.shtml,True,2019,12.5
Orlando Arcia,https://www.baseball-reference.com/players/a/arciaor01.shtml,True,2022,1.5
Christian Vazquez,https://www.baseball-reference.com/players/v/vazquch01.shtml,True,2019,5.075
Xander Bogaerts,https://www.baseball-reference.com/players/b/bogaexa01.shtml,True,2020,20.0
Enrique Hernandez,https://www.baseball-reference.com/players/h/hernaen02.shtml,True,2021,7.0
J.D. Martinez,https://www.baseball-reference.com/players/m/martijd02.shtml,True,2018,21.990000000000002
David Bote,https://www.baseball-reference.com/players/b/boteda01.shtml,True,2020,3.0
Javier Baez,https://www.baseball-reference.com/players/b/baezja01.shtml,True,2022,23.333333333333332
Jason Heyward,https://www.baseball-reference.com/players/h/heywaja01.shtml,True,2016,23.0
Yasmani Grandal,https://www.baseball-reference.com/players/g/grandya01.shtml,True,2020,18.25
José Abreu,https://www.baseball-reference.com/players/a/abreujo02.shtml,True,2020,16.666666666666668
Cesar Hernandez,https://www.baseball-reference.com/players/h/hernace02.shtml,True,2022,4.0
Yoan Moncada,https://www.baseball-reference.com/players/m/moncayo01.shtml,True,2020,14.0
Luis Robert,https://www.baseball-reference.com/players/r/roberlu01.shtml,True,2020,8.333333333333334
Leury Garcia,https://www.baseball-reference.com/players/g/garcile02.shtml,True,2022,5.5
Eloy Jimenez,https://www.baseball-reference.com/players/j/jimenel02.shtml,True,2019,7.166666666666667
Tucker Barnhart,https://www.baseball-reference.com/players/b/barnhtu01.shtml,True,2018,4.6
Joey Votto,https://www.baseball-reference.com/players/v/vottojo01.shtml,True,2014,22.5
Eugenio Suarez,https://www.baseball-reference.com/players/s/suareeu01.shtml,True,2018,9.428571428571429
Nick Castellanos,https://www.baseball-reference.com/players/c/casteni01.shtml,True,2020,16.0
Mike Moustakas,https://www.baseball-reference.com/players/m/moustmi01.shtml,True,2020,16.0
Jose Ramirez,https://www.baseball-reference.com/players/r/ramirjo01.shtml,True,2017,6.0
Roberto Perez,https://www.baseball-reference.com/players/p/perezro02.shtml,True,2022,5.0
Elias Diaz,https://www.baseball-reference.com/players/d/diazel01.shtml,True,2022,4.833333333333333
C.J. Cron,https://www.baseball-reference.com/players/c/croncj01.shtml,True,2022,7.25
Charlie Blackmon,https://www.baseball-reference.com/players/b/blackch02.shtml,True,2018,19.6
Jonathan Schoop,https://www.baseball-reference.com/players/s/schoojo01.shtml,True,2022,7.5
Robbie Grossman,https://www.baseball-reference.com/players/g/grossro01.shtml,True,2021,5.0
Miguel Cabrera,https://www.baseball-reference.com/players/c/cabremi01.shtml,True,2016,30.0
Martin Maldonado,https://www.baseball-reference.com/players/m/maldoma01.shtml,True,2022,4.5
Jose Altuve,https://www.baseball-reference.com/players/a/altuvjo01.shtml,True,2018,23.357142857142858
Alex Bregman,https://www.baseball-reference.com/players/b/bregmal01.shtml,True,2020,20.0
Michael Brantley,https://www.baseball-reference.com/players/b/brantmi02.shtml,True,2021,16.0
Jason Castro,https://www.baseball-reference.com/players/c/castrja01.shtml,True,2021,3.5
Salvador Perez,https://www.baseball-reference.com/players/p/perezsa02.shtml,True,2022,20.5
Carlos Santana,https://www.baseball-reference.com/players/s/santaca01.shtml,True,2021,8.75
Michael A. Taylor,https://www.baseball-reference.com/players/t/taylomi02.shtml,True,2022,4.5
Hunter Dozier,https://www.baseball-reference.com/players/d/doziehu01.shtml,True,2021,6.25
Corey Seager,https://www.baseball-reference.com/players/s/seageco01.shtml,True,2022,32.5
Justin Turner,https://www.baseball-reference.com/players/t/turneju01.shtml,True,2021,17.0
AJ Pollock,https://www.baseball-reference.com/players/p/polloaj01.shtml,True,2019,13.75
Mookie Betts,https://www.baseball-reference.com/players/b/bettsmo01.shtml,True,2021,30.416666666666668
Chris Taylor,https://www.baseball-reference.com/players/t/tayloch03.shtml,True,2022,15.0
Kolten Wong,https://www.baseball-reference.com/players/w/wongko01.shtml,True,2021,9.0
Christian Yelich,https://www.baseball-reference.com/players/y/yelicch01.shtml,True,2020,23.88888888888889
Jackie Bradley Jr.,https://www.baseball-reference.com/players/b/bradlja02.shtml,True,2021,12.0
Avisail Garcia,https://www.baseball-reference.com/players/g/garciav01.shtml,True,2022,13.25
Lorenzo Cain,https://www.baseball-reference.com/players/c/cainlo01.shtml,True,2018,16.0
Manny Pina,https://www.baseball-reference.com/players/p/pinama01.shtml,True,2022,4.0
Miguel Sano,https://www.baseball-reference.com/players/s/sanomi01.shtml,True,2020,10.0
Jorge Polanco,https://www.baseball-reference.com/players/p/polanjo01.shtml,True,2019,5.15
Josh Donaldson,https://www.baseball-reference.com/players/d/donaljo02.shtml,True,2020,23.0
Byron Buxton,https://www.baseball-reference.com/players/b/buxtoby01.shtml,True,2022,14.285714285714286
Max Kepler,https://www.baseball-reference.com/players/k/keplema01.shtml,True,2019,6.426
James McCann,https://www.baseball-reference.com/players/m/mccanja02.shtml,True,2021,10.15
Francisco Lindor,https://www.baseball-reference.com/players/l/lindofr01.shtml,True,2022,34.1
DJ LeMahieu,https://www.baseball-reference.com/players/l/lemahdj01.shtml,True,2021,15.0
Giancarlo Stanton,https://www.baseball-reference.com/players/s/stantmi03.shtml,True,2015,25.0
Aaron Hicks,https://www.baseball-reference.com/players/h/hicksaa01.shtml,True,2019,10.0
Elvis Andrus,https://www.baseball-reference.com/players/a/andruel01.shtml,True,2015,15.0
Mark Canha,https://www.baseball-reference.com/players/c/canhama01.shtml,True,2022,13.25
Starling Marte,https://www.baseball-reference.com/players/m/martest01.shtml,True,2022,19.5
Stephen Piscotty,https://www.baseball-reference.com/players/p/piscost01.shtml,True,2017,5.583333333333333
Yan Gomes,https://www.baseball-reference.com/players/g/gomesya01.shtml,True,2022,6.5
J.T. Realmuto,https://www.baseball-reference.com/players/r/realmjt01.shtml,True,2021,23.1
Jean Segura,https://www.baseball-reference.com/players/s/segurje01.shtml,True,2018,14.0
Didi Gregorius,https://www.baseball-reference.com/players/g/gregodi01.shtml,True,2021,14.0
Bryce Harper,https://www.baseball-reference.com/players/h/harpebr03.shtml,True,2019,25.384615384615383
Scott Kingery,https://www.baseball-reference.com/players/k/kingesc01.shtml,True,2018,4.0
Eric Hosmer,https://www.baseball-reference.com/players/h/hosmeer01.shtml,True,2018,18.0
Fernando Tatis Jr.,https://www.baseball-reference.com/players/t/tatisfe02.shtml,True,2021,24.285714285714285
Manny Machado,https://www.baseball-reference.com/players/m/machama01.shtml,True,2019,30.0
Wil Myers,https://www.baseball-reference.com/players/m/myerswi01.shtml,True,2017,13.833333333333334
Jurickson Profar,https://www.baseball-reference.com/players/p/profaju01.shtml,True,2021,6.335
Brandon Belt,https://www.baseball-reference.com/players/b/beltbr01.shtml,True,2022,18.4
Brandon Crawford,https://www.baseball-reference.com/players/c/crawfbr01.shtml,True,2022,16.0
Evan Longoria,https://www.baseball-reference.com/players/l/longoev01.shtml,True,2017,16.666666666666668
Wilmer Flores,https://www.baseball-reference.com/players/f/florewi01.shtml,True,2020,3.1666666666666665
Tommy La Stella,https://www.baseball-reference.com/players/l/lasteto01.shtml,True,2021,6.25
Evan White,https://www.baseball-reference.com/players/w/whiteev01.shtml,True,2020,4.0
Yadier Molina,https://www.baseball-reference.com/players/m/molinya01.shtml,True,2022,10.0
Paul Goldschmidt,https://www.baseball-reference.com/players/g/goldspa01.shtml,True,2020,26.0
Paul DeJong,https://www.baseball-reference.com/players/d/dejonpa01.shtml,True,2018,4.333333333333333
Nolan Arenado,https://www.baseball-reference.com/players/a/arenano01.shtml,True,2019,30.555555555555557
Marcus Semien,https://www.baseball-reference.com/players/s/semiema01.shtml,True,2022,25.0
Lourdes Gurriel Jr.,https://www.baseball-reference.com/players/g/gurrilo01.shtml,True,2017,3.142857142857143
Randal Grichuk,https://www.baseball-reference.com/players/g/grichra01.shtml,True,2019,10.4
George Springer,https://www.baseball-reference.com/players/s/springe01.shtml,True,2021,25.0
Alcides Escobar,https://www.baseball-reference.com/players/e/escobal02.shtml,True,2022,1.0
